#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:51:18 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589106004be6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/146/131&tab:{J/AJ/146/131/standards}&key:source=J/AJ/146/131/standards&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/146/131/standards
#-order=I
#-out=Name
#-out=N
#-out=<Vmag>
#-out=e_<Vmag>
#-out=<B-V>
#-out=<U-B>
#-out=<V-R>
#-out=<R-I>
#-out=<V-I>
#-out=No
#-out=Nn
#-out=RAJ2000
#-out=DEJ2000
#-out=2MASS
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51460131
#Name: J/AJ/146/131
#Title: UBVRI standard stars at +50{deg} declination (Landolt, 2013)
#Table	J_AJ_146_131_standards:
#Name: J/AJ/146/131/standards
#Title: UBVRI photometry of standard stars at Northern Declinations {\em (Table2)}, and at the Celestial Equator {\em (Table3)}, completed with accurate astrometry {\em (Table5)}
#Column	Name	(a12)	Standard star name (G1)	[ucd=meta.id;meta.main]
#Column	N	(A1)	{\bf N} indicates a note on this star	[ucd=meta.ref.url]
#Column	<Vmag>	(F6.3)	Mean V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_<Vmag>	(F7.4)	? Mean error in <Vmag>	[ucd=stat.error;phot.mag;em.opt.V]
#Column	<B-V>	(F6.3)	Mean B-V color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	<U-B>	(F6.3)	Mean U-B color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	<V-R>	(F6.3)	Mean V-R color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	<R-I>	(F6.3)	? Mean R-I color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	<V-I>	(F6.3)	? Mean V-I color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	No	(I2)	Number of times that each star was observed	[ucd=meta.number]
#Column	Nn	(I2)	Number of nights during which a star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000) (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000) (1)	[ucd=pos.eq.dec;meta.main]
#Column	2MASS	(A17)	2MASS name (cat. II/246) (JHHMMSSss+DDMMSSs)	[ucd=meta.id]
#Column	pmRA	(F6.1)	Proper motion in Right Ascension (1)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F6.1)	Proper motion in Declination (1)	[ucd=pos.pm;pos.eq.dec]
#Column	SimbadName	(A23)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|N|<Vmag>|e_<Vmag>|<B-V>|<U-B>|<V-R>|<R-I>|<V-I>|No|Nn|RAJ2000|DEJ2000|2MASS|pmRA|pmDE|SimbadName
GD 336C     | |13.627| 0.0016| 0.562| 0.006| 0.328| 0.325| 0.655|15| 8|14 32 03.469|+37 04 19.95|J14320347+3704199|  -0.2|  -0.7|2MASS J14320347+3704199
PG 1430+427C| |11.421| 0.0013| 0.454|-0.109| 0.281| 0.281| 0.561| 9| 5|14 32 20.592|+42 30 24.07|J14322059+4230240| -32.1|  32.7|2MASS J14322059+4230240
PG 1430+427 |N|14.218| 0.0012|-0.148|-0.669|-0.058|-0.067|-0.130|12| 6|14 32 33.889|+42 30 19.07|J14323389+4230192|  -3.1| -15.7|2MASS J14323389+4230192
PG 1430+427A| |11.907| 0.0007| 0.759| 0.402| 0.419| 0.378| 0.794| 9| 5|14 32 39.438|+42 30 40.02|J14323944+4230401| -11.6|   1.4|2MASS J14323944+4230401
PG 1430+427B| |12.039| 0.0034| 0.900| 0.664| 0.483| 0.428| 0.910| 7| 4|14 32 46.756|+42 32 19.21|J14324676+4232193| -16.6|  13.3|2MASS J14324676+4232193
SA 35-316   |N| 9.953| 0.0012| 0.462| 0.061| 0.282| 0.279| 0.559|16| 8|15 49 41.176|+44 35 23.77|J15494119+4435238|   4.7| -10.3|2MASS J15494119+4435238
SA 35-243   | |12.011| 0.0005| 0.542|-0.016| 0.319| 0.319| 0.648| 8| 4|15 49 49.168|+44 27 53.56|J15494913+4427535|  -8.1|  16.8|2MASS J15494913+4427535
SA 35-245   |N| 7.686| 0.0021| 0.111| 0.101| 0.055| 0.046| 0.097| 2| 1|15 49 49.958|+44 31 19.49|J15494996+4431197| -13.9|   2.3|2MASS J15494996+4431197
SA 35-318   | |11.807| 0.0012| 0.180| 0.124| 0.129| 0.159| 0.286|19|10|15 50 01.814|+44 33 04.74|J15500181+4433048|  -2.9| -39.1|2MASS J15500181+4433048
SA 35-491   | |11.539| 0.0010| 0.915| 0.663| 0.509| 0.457| 0.964|13| 7|15 50 33.186|+44 58 06.22|J15503319+4458062| -11.8| -11.1|2MASS J15503319+4458062
SA 35-492   |N| 9.829| 0.0008| 0.556| 0.013| 0.332| 0.329| 0.658|10| 5|15 50 38.980|+45 00 37.36|J15503898+4500374| -21.7|  47.2|2MASS J15503898+4500374
SA 35-338   |N| 9.605| 0.0012| 0.371|-0.015| 0.221| 0.225| 0.456|12| 6|15 51 50.503|+44 41 51.75|J15515050+4441517| -10.5|   2.3|2MASS J15515050+4441517
SA 35-339   | |12.775| 0.0020| 0.554| 0.028| 0.336| 0.329| 0.662| 4| 2|15 51 54.385|+44 32 29.14|J15515438+4432292|  15.1| -26.9|2MASS J15515438+4432292
SA 35-341   | |12.565| 0.0022| 0.559| 0.007| 0.337| 0.330| 0.670|18| 9|15 51 56.722|+44 33 24.64|J15515672+4433247|  14.2| -28.2|2MASS J15515672+4433247
SA 35-343   | |10.870| 0.0007| 0.433|-0.063| 0.271| 0.254| 0.529|11| 6|15 51 57.200|+44 35 26.22|J15515720+4435263|  -2.9|   6.5|2MASS J15515720+4435263
SA 35-261   | |12.126| 0.0009| 1.508| 1.898| 0.860| 0.884| 1.740|25|11|15 52 04.173|+44 24 58.31|J15520416+4424585|  -5.2|  -1.2|2MASS J15520416+4424585
SA 35-262   | |12.835| 0.0006| 0.499|-0.032| 0.299| 0.307| 0.609|19|10|15 52 05.049|+44 26 00.66|J15520505+4426009|  11.7|  10.1|2MASS J15520505+4426009
SA 35-263   | |13.552| 0.0018| 0.833| 0.503| 0.464| 0.423| 0.894| 8| 4|15 52 05.068|+44 30 01.39|J15520506+4430016|   9.6|  10.6|2MASS J15520506+4430016
SA 35-264   | |13.775| 0.0045| 0.828| 0.499| 0.457| 0.401| 0.857| 6| 3|15 52 12.896|+44 28 30.81|J15521288+4428308|  -6.4|   4.9|2MASS J15521288+4428308
SA 35-265   | |16.039| 0.0046| 0.517|-0.091| 0.363| 0.341| 0.677| 8| 4|15 52 13.784|+44 28 55.85|J15521379+4428558|   5.3| -10.7|2MASS J15521379+4428558
SA 35-266   | |12.913| 0.0007| 1.056| 0.979| 0.569| 0.506| 1.075|10| 5|15 52 23.534|+44 30 23.32|J15522352+4430233|   1.4|  -6.3|2MASS J15522352+4430233
SA 35-267   | |16.093| 0.0021| 0.596|-0.008| 0.354| 0.345| 0.698| 8| 4|15 52 24.277|+44 26 00.06|J15522426+4425599|   1.5| -14.8|2MASS J15522426+4425599
SA 35-518   |N| 9.258| 0.0013| 0.156| 0.107| 0.062| 0.086| 0.157| 5| 3|15 53 28.862|+44 57 30.75|J15532885+4457308|  -2.2|   6.1|2MASS J15532885+4457308
SA 35-526   |N| 9.024| 0.0011| 1.055| 1.002| 0.541| 0.496| 1.035| 6| 3|15 54 19.828|+44 55 06.78|J15541982+4455066|  -7.8| -24.0|2MASS J15541982+4455066
SA 35-535   |N| 9.120| 0.0025| 1.251| 1.413| 0.660| 0.581| 1.241| 4| 3|15 55 00.665|+44 59 20.41|J15550065+4459205|   1.8| -11.4|2MASS J15550065+4459205
SA 35-539   | |12.920| 0.0010| 0.778| 0.420| 0.450| 0.407| 0.858|12| 6|15 55 13.789|+44 58 15.44|J15551379+4458153|  -2.7| -57.2|2MASS J15551379+4458153
KUV 433-03  |N|14.902| 0.0007|-0.255|-1.062|-0.111|-0.148|-0.255| 7| 3|16 38 26.317|+35 00 11.86|J16380482-0035067| -33.9|  10.2|2MASS J16380482-0035067
KUV 433-03A | |15.578| 0.0010| 1.223| 1.274| 0.741| 0.613| 1.356| 5| 2|16 38 27.812|+34 59 46.59|J16382781+3459467|   9.5|  -8.2|2MASS J16382781+3459467
GD 358      |N|13.653| 0.0095|-0.123|-1.019|-0.099|-0.097|-0.199|13| 6|16 47 18.358|+32 28 32.93|J16471839+3228328|-158.0|  20.0|2MASS J16471839+3228328
GD 358A     | |13.496| 0.0022| 0.943| 0.747| 0.569| 0.485| 1.056|12| 6|16 47 22.314|+32 25 31.30|J16472231+3225312|   3.6| -26.5|2MASS J16472231+3225312
GD 358B     | |12.570| 0.0020| 0.677| 0.215| 0.378| 0.361| 0.735|11| 6|16 47 23.224|+32 23 37.16|J16472322+3223371|  -4.7| -18.2|2MASS J16472322+3223371
PG 1648+536E| |15.152| 0.0007| 0.668| 0.172| 0.407| 0.326| 0.736| 2| 1|16 49 48.175|+53 31 30.23|J16494817+5331303|   0.0|  -1.3|2MASS J16494817+5331303
PG 1648+536A| |14.329| 0.0051| 0.744| 0.299| 0.415| 0.387| 0.799|13| 6|16 49 57.450|+53 30 18.56|J16495744+5330187|  -4.7|  -3.2|2MASS J16495744+5330187
PG 1648+536 |N|14.050| 0.0026|-0.215|-1.024|-0.090|-0.126|-0.214|13| 6|16 49 59.853|+53 31 31.75|J16495985+5331318|   0.9| -15.4|2MASS J16495985+5331318
PG 1648+536B| |14.047| 0.0007| 0.611| 0.052| 0.377| 0.372| 0.751|10| 5|16 50 01.154|+53 29 14.64|J16500115+5329148|   1.8| -14.1|2MASS J16500115+5329148
PG 1648+536C| |13.520| 0.0024| 0.957| 0.722| 0.549| 0.483| 1.031|10| 5|16 50 07.599|+53 28 49.30|J16500759+5328494| -13.4| -11.3|2MASS J16500759+5328494
PG 1648+536D|N|12.246| 0.0026| 0.637| 0.103| 0.372| 0.361| 0.733| 7| 4|16 50 11.586|+53 26 59.73|J16501157+5326597|  -3.2|  18.8|2MASS J16501157+5326597
GD 363C     | |15.504| 0.0041| 0.590| 0.009| 0.346| 0.294| 0.641|14| 7|17 38 26.523|+41 53 20.52|J17382653+4153204|   2.6|  -3.5|2MASS J17382653+4153204
GD 363B     | |15.058| 0.0022| 1.163| 1.075| 0.730| 0.635| 1.371|23|13|17 38 33.790|+41 53 30.66|J17383380+4153306|  11.5|  17.8|2MASS J17383380+4153306
GD 363A     | |12.900| 0.0006| 1.013| 0.834| 0.542| 0.497| 1.040|21|12|17 38 35.039|+41 53 58.16|J17383504+4153580|   2.5|   4.1|2MASS J17383504+4153580
GD 363      |N|15.286| 0.0017|-0.108|-0.894|-0.126|-0.153|-0.272|21|12|17 38 35.667|+41 52 31.69|J17383567+4152310| -32.0| 178.0|2MASS J17383567+4152310
GD 363D     | |13.804| 0.0014| 0.586|-0.011| 0.350| 0.357| 0.705|11| 6|17 38 47.885|+41 54 09.16|J17384789+4154090|  -8.2|   7.5|2MASS J17384789+4154090
GD 378A     | |13.475| 0.0018| 0.617| 0.140| 0.348| 0.330| 0.682|16| 8|18 23 30.902|+41 04 10.27|J18233090+4104103| -10.3|   4.1|2MASS J18233090+4104103
GD 378      |N|14.288| 0.0005|-0.080|-0.962|-0.036|-0.043|-0.091|17| 8|18 23 37.012|+41 04 02.55|J18233701+4104018|  -2.0| 138.0|2MASS J18233701+4104018
GD 378B     |N|13.393| 0.0562| 0.690| 0.156| 0.409| 0.402| 0.809|14| 5|18 23 45.477|+41 05 47.88|J18234547+4105479|   5.3|   3.7|2MASS J18234547+4105479
GD 378C     | |11.771| 0.0008| 0.612| 0.137| 0.355| 0.339| 0.697|10| 4|18 23 50.120|+41 06 43.94|J18235012+4106440|  -0.3| -26.2|2MASS J18235012+4106440
SA 38-177   | |10.850| 0.0005| 0.442| 0.015| 0.270| 0.262| 0.533|12| 7|18 47 34.575|+45 10 53.55|J18473457+4510535|  -2.4|  -5.3|2MASS J18473457+4510535
SA 38-178   | |12.405| 0.0009| 0.724| 0.175| 0.430| 0.416| 0.845|12| 6|18 47 35.701|+45 10 34.03|J18473570+4510339|  19.5|   6.3|2MASS J18473570+4510339
SA 38-326   |N| 9.947| 0.0007| 0.287| 0.071| 0.171| 0.193| 0.349| 8| 4|18 47 40.515|+45 24 39.37|J18474051+4524393|   6.9|  -0.7|2MASS J18474051+4524393
SA 38-358   |N| 9.854| 0.0006| 1.132| 1.186| 0.583| 0.509| 1.095| 9| 4|18 48 23.004|+45 23 22.35|J18482300+4523223|  -0.4|   6.1|2MASS J18482300+4523223
SA 38-365   | |11.625| 0.0006| 1.205| 1.309| 0.616| 0.546| 1.160| 8| 4|18 48 32.505|+45 25 10.85|J18483249+4525109|  -2.7|  -7.2|2MASS J18483249+4525109
SA 38-375   | |11.556| 0.0013| 0.584| 0.086| 0.326| 0.312| 0.643| 4| 2|18 48 47.091|+45 24 19.78|J18484708+4524198|  -8.5| -32.7|2MASS J18484708+4524198
SA 38-377   | |10.451| 0.0006| 0.967| 0.778| 0.521| 0.458| 0.976| 4| 2|18 48 47.755|+45 20 23.44|J18484774+4520235|  18.0| -25.3|2MASS J18484774+4520235
SA 38-382   | |11.351| 0.0025| 0.586| 0.141| 0.329| 0.313| 0.645| 4| 2|18 48 53.856|+45 25 29.95|J18485385+4525299|  -6.3| -11.9|2MASS J18485385+4525299
SA 38-253   | |10.774| 0.0006| 0.357| 0.025| 0.223| 0.204| 0.428| 9| 4|18 49 04.397|+45 14 13.70|J18490439+4514136|   1.4|   0.3|2MASS J18490439+4514136
SA 38-391   |N| 8.575| 0.0014| 1.266| 1.441| 0.658| 0.577| 1.235| 2| 1|18 49 07.115|+45 19 16.77|J18490711+4519168|   4.8| -17.6|2MASS J18490711+4519168
SA 38-269   | |11.270| 0.0011| 1.157| 1.200| 0.620| 0.548| 1.168| 9| 4|18 49 37.723|+45 14 24.01|J18493772+4514239|   3.5|  11.1|2MASS J18493772+4514239
SA 38-270   | |10.927| 0.0016| 0.289| 0.085| 0.164| 0.173| 0.320|10| 5|18 49 40.787|+45 09 07.01|J18494078+4509069|   4.6|  10.0|2MASS J18494078+4509069
SA 38-273   | |10.871| 0.0006| 1.269| 1.285| 0.675| 0.617| 1.298| 9| 4|18 49 46.591|+45 13 32.23|J18494658+4513321|  -3.6|  -6.9|2MASS J18494658+4513321
SA 38-137   | |13.517| 0.0013| 0.736| 0.317| 0.411| 0.370| 0.785| 7| 4|18 50 24.265|+45 06 09.47|J18502426+4506094|  -3.1|  14.3|2MASS J18502426+4506094
SA 38-138   | |14.319| 0.0016| 0.714| 0.270| 0.388| 0.369| 0.762| 9| 5|18 50 25.534|+45 06 06.38|J18502554+4506064|   4.0|  -5.7|2MASS J18502554+4506064
SA 38-297   | |14.395| 0.0021| 0.610| 0.137| 0.346| 0.350| 0.696| 2| 1|18 50 27.011|+45 07 55.90|J18502701+4507559|  -4.8|  -4.2|2MASS J18502701+4507559
SA 38-298   | |15.221|       | 0.594| 0.116| 0.386| 0.361| 0.749| 1| 1|18 50 31.101|+45 09 37.03|J18503111+4509370|  -7.9| -10.7|2MASS J18503111+4509370
SA 38-302   | |15.461|       | 0.932| 0.530| 0.528| 0.430| 0.955| 1| 1|18 50 33.197|+45 10 43.05|J18503321+4510431|   4.4|   7.2|2MASS J18503321+4510431
SA 38-303   | |15.062|       | 0.618| 0.093| 0.334| 0.413| 0.746| 1| 1|18 50 34.221|+45 07 26.48|J18503422+4507265|  10.8|   7.0|2MASS J18503422+4507265
SA 38-304   | |14.514|       | 0.595| 0.068| 0.294| 0.364| 0.657| 1| 1|18 50 36.293|+45 09 06.83|J18503629+4509068|  -0.6|  -9.2|2MASS J18503629+4509068
SA 38-149   | |15.186|       | 0.639| 0.110| 0.339| 0.317| 0.657| 1| 1|18 50 41.729|+45 06 37.02|J18504174+4506370|  -7.8|  -6.9|2MASS J18504174+4506370
SA 38-309   | |12.798| 0.0038| 0.682| 0.195| 0.383| 0.372| 0.753| 7| 4|18 50 45.291|+45 07 42.19|J18504529+4507421|  -0.6|  -4.6|2MASS J18504529+4507421
SA 38-156   | |15.358| 0.0007| 0.579|-0.069| 0.356| 0.368| 0.712|12| 7|18 50 46.158|+45 05 52.97|J18504615+4505529|  -5.7|  -7.2|2MASS J18504615+4505529
SA 38-157   | |15.213| 0.0012| 1.036| 0.831| 0.570| 0.523| 1.094| 9| 5|18 50 46.519|+45 06 11.51|J18504652+4506115|   2.0|   3.6|2MASS J18504652+4506115
SA 38-310   | |10.489| 0.0005| 1.259| 1.407| 0.651| 0.555| 1.212|11| 6|18 50 48.873|+45 08 43.50|J18504886+4508433|  10.1|   5.7|2MASS J18504886+4508433
SA 38-312   | |12.171| 0.0007| 1.290| 1.187| 0.706| 0.666| 1.374| 9| 5|18 50 50.491|+45 09 36.42|J18505049+4509363|  -6.9|   3.2|2MASS J18505049+4509363
GD 391F     | |12.500| 0.0011| 0.544| 0.048| 0.329| 0.331| 0.660|10| 5|20 29 37.183|+39 17 17.58|J20293718+3917176|  -8.5| -15.4|2MASS J20293718+3917176
GD 391E     | |12.409| 0.0007| 0.560| 0.043| 0.326| 0.314| 0.642|14| 7|20 29 43.642|+39 17 17.98|J20294363+3917180|   5.1|  -7.8|2MASS J20294363+3917180
GD 391H     | |14.365| 0.0007| 0.723| 0.183| 0.417| 0.396| 0.814| 8| 4|20 29 45.496|+39 18 14.26|J20294549+3918143|   7.0| -11.8|2MASS J20294549+3918143
GD 391G     | |13.675| 0.0016| 0.800| 0.314| 0.451| 0.440| 0.893| 8| 4|20 29 45.987|+39 16 34.95|J20294598+3916349|  -6.1|   0.0|2MASS J20294598+3916349
GD 391B     | |12.710| 0.0004| 0.580| 0.200| 0.344| 0.352| 0.696|16| 9|20 29 51.196|+39 14 20.33|J20295119+3914203|  -6.2|  -7.6|2MASS J20295119+3914203
GD 391D     | |15.012| 0.0045| 0.994| 0.481| 0.570| 0.549| 1.125|14| 7|20 29 54.035|+39 13 43.44|J20295403+3913434|   7.4|  -6.8|2MASS J20295403+3913434
GD 391A     | |12.315| 0.0017| 0.410| 0.205| 0.236| 0.261| 0.494|15| 9|20 29 55.304|+39 14 13.08|J20295529+3914130|   3.5|  -0.9|2MASS J20295529+3914130
GD 391      |N|13.378| 0.0005|-0.151|-0.972|-0.120|-0.136|-0.256|27|13|20 29 56.177|+39 13 32.19|J20295616+3913320| 149.0|  93.3|2MASS J20295616+3913320
GD 391C     | |11.463| 0.0012| 0.760| 0.608| 0.448| 0.497| 0.937|12| 6|20 30 02.922|+39 15 03.75|J20300292+3915037|   1.9| -10.3|2MASS J20300292+3915037
SA 41-620   | |14.176| 0.0071| 0.770| 0.305| 0.468| 0.475| 0.940| 2| 1|21 53 11.306|+45 36 21.13|J21531130+4536210|  -7.6|  -6.2|2MASS J21531130+4536210
SA 41-626   | |14.058| 0.0057| 0.911| 0.687| 0.509| 0.451| 0.954| 2| 1|21 53 17.263|+45 37 24.48|J21531726+4537245|  -8.3|  -5.9|2MASS J21531726+4537245
SA 41-625   | |14.205| 0.0071| 0.876| 0.373| 0.496| 0.509| 1.006| 2| 1|21 53 17.295|+45 35 14.74|J21531730+4535148|  -2.9|  -1.0|2MASS J21531730+4535148
SA 41-630   | |14.986| 0.0163| 1.039| 0.787| 0.593| 0.513| 1.105| 2| 1|21 53 23.508|+45 38 17.36|J21532350+4538173|  10.3|   3.1|2MASS J21532350+4538173
SA 41-631   | |13.390| 0.0014| 0.246|-0.106| 0.167| 0.196| 0.374|27|12|21 53 24.561|+45 35 45.09|J21532456+4535451|  -4.7|  -2.0|2MASS J21532456+4535451
SA 41-634   | |13.164| 0.0006| 0.738| 0.217| 0.448| 0.455| 0.902|14| 7|21 53 27.209|+45 35 40.95|J21532721+4535410|  -1.7|  -3.1|2MASS J21532721+4535410
SA 41-637   | |14.426| 0.0013| 1.199| 0.800| 0.690| 0.673| 1.360|20|10|21 53 30.416|+45 36 11.04|J21533041+4536110|  -1.5|  -0.3|2MASS J21533041+4536110
SA 41-638   | |14.045| 0.0021| 0.736| 0.131| 0.436| 0.461| 0.894| 2| 1|21 53 32.591|+45 37 00.50|J21533258+4537005|   5.6|  -4.4|2MASS J21533258+4537005
SA 41-639   | |14.130| 0.0006| 1.320| 1.045| 0.754| 0.716| 1.472|17| 8|21 53 33.743|+45 34 20.95|J21533374+4534209|  -0.8|   0.2|2MASS J21533374+4534209
SA 41-654   |N|10.038| 0.0003| 0.619| 0.207| 0.344| 0.312| 0.658|13| 6|21 53 52.663|+45 33 07.25|J21535265+4533072|  17.8|   5.0|2MASS J21535265+4533072
SA 41-660   | |12.804| 0.0015| 0.225| 0.081| 0.147| 0.169| 0.319|25|11|21 53 56.878|+45 32 23.66|J21535687+4532235|  -7.0|  -4.2|2MASS J21535687+4532235
SA 41-171   | |11.144| 0.0018| 0.315| 0.185| 0.181| 0.206| 0.388|14| 7|21 54 04.972|+45 13 13.57|J21540496+4513136|   5.0|  -2.6|2MASS J21540496+4513136
SA 41-673   | |14.098| 0.0014| 0.235|-0.198| 0.155| 0.180| 0.334|33|15|21 54 07.165|+45 32 38.06|J21540716+4532380|   2.8|  -2.6|2MASS J21540716+4532380
SA 41-674   | |14.560| 0.0030| 1.051| 0.831| 0.664| 0.595| 1.260| 9| 4|21 54 07.517|+45 32 07.05|J21540751+4532070|  23.1| -15.0|2MASS J21540751+4532070
SA 41-179   | |11.868| 0.0017| 0.498| 0.177| 0.291| 0.296| 0.586| 9| 4|21 54 10.448|+45 16 31.11|J21541044+4516310|  -1.5|  -8.2|2MASS J21541044+4516310
SA 41-182   | | 9.969| 0.0009| 0.307| 0.159| 0.182| 0.197| 0.381|15| 8|21 54 12.587|+45 14 36.50|J21541258+4514364|   7.2|  -3.4|2MASS J21541258+4514364
SA 41-190   | |10.367| 0.0012| 0.289| 0.074| 0.165| 0.166| 0.332|17| 8|21 54 18.195|+45 15 22.57|J21541819+4515225|   8.0|  12.2|2MASS J21541819+4515225
SA 41-204   | |10.973| 0.0033| 1.743| 2.064| 1.075| 1.163| 2.242|17| 8|21 54 31.607|+45 13 51.39|J21543159+4513512|   5.3|  -7.0|2MASS J21543159+4513512
GD 405      |N|16.751| 0.0071|-0.166|-0.811|-0.517|      |      | 2| 1|23 16 43.875|+47 27 15.57|J23164386+4727155| 113.9|  47.3|2MASS J23164386+4727155
GD 405A     | |15.615|       | 1.063| 1.326| 0.663| 0.579| 1.243| 1| 1|23 16 44.966|+47 26 59.90|J23164495+4726599|  -5.1|  -3.6|2MASS J23164495+4726599
GD 251      |N|15.745| 0.0198|-0.182|-1.003|-0.068|-0.171|-0.236| 2| 1|23 34 20.865|+29 18 36.99|J23342086+2918366| -68.0|-122.0|2MASS J23342086+2918366
SA 103-518  | |11.190| 0.0050| 0.645| 0.045| 0.378| 0.371| 0.748| 4| 2|11 56 30.866|-00 32 37.58|J11563087-0032375| -39.0| -40.3|2MASS J11563087-0032375
SA 103-626  | |11.820| 0.0030| 0.414|-0.057| 0.263| 0.274| 0.537| 4| 2|11 56 46.156|-00 23 14.70|J11564615-0023146|  18.1| -10.2|2MASS J11564615-0023146
SA 103-528  | |11.776| 0.0040| 0.583| 0.014| 0.339| 0.336| 0.674| 4| 2|11 57 00.826|-00 26 01.45|J11570082-0026014| -11.9| -13.9|2MASS J11570082-0026014
SA 103-529  | |12.227| 0.0045| 0.985| 0.807| 0.531| 0.473| 1.004| 4| 2|11 57 01.882|-00 26 58.96|J11570188-0026589|   6.7|  -4.0|2MASS J11570188-0026589
SA 103-646  | |12.444| 0.0020| 0.717| 0.219| 0.394| 0.373| 0.766| 4| 2|11 57 20.329|-00 21 00.92|J11572032-0021010|  -1.7|   0.3|2MASS J11572032-0021010
SA 107-970  |N|10.926| 0.0053| 1.605| 1.799| 1.181| 1.458| 2.638| 7| 7|15 37 25.829|+00 18 33.85|J15372582+0018339|  -2.2|  -1.9|2MASS J15372582+0018339
SA 107-991  | |12.094| 0.0020| 1.083| 0.813| 0.603| 0.563| 1.166| 4| 2|15 38 06.902|+00 16 19.31|J15380690+0016193| -11.2|  -5.7|2MASS J15380690+0016193
SA 107-847  |N|10.245| 0.0005| 1.074| 0.830| 0.575| 0.526| 1.102| 4| 2|15 38 19.398|+00 08 04.90|J15381938+0008049| -13.3|  -6.0|2MASS J15381938+0008049
SA 107-862  | |11.212| 0.0005| 0.549| 0.060| 0.325| 0.315| 0.641| 4| 2|15 38 55.944|+00 09 48.13|J15385594+0009480|   5.8|  -0.5|2MASS J15385594+0009480
SA 107-1014 | |12.117| 0.0020| 0.545| 0.014| 0.334| 0.337| 0.671| 4| 2|15 38 59.016|+00 15 30.98|J15385901+0015310| -10.2| -11.8|2MASS J15385901+0015310
SA 107-871  | |12.467| 0.0025| 0.656| 0.120| 0.383| 0.371| 0.755| 4| 2|15 39 16.189|+00 08 54.53|J15391619+0008545| -14.3|  11.5|2MASS J15391619+0008545
SA 108-870  | |11.856| 0.0015| 1.218| 1.168| 0.679| 0.608| 1.288| 4| 2|16 37 45.814|-00 28 23.75|J15391619+0008545| -13.4|   2.3|2MASS J15391619+0008545
SA 108-872  | |11.925| 0.0015| 0.840| 0.357| 0.479| 0.445| 0.923| 4| 4|16 37 49.759|-00 22 18.99|J16374581-0028236|  -8.1|  -0.3|2MASS J16374581-0028236
SA 108-570  | |12.122| 0.0010| 0.531| 0.087| 0.321| 0.319| 0.640| 4| 2|16 38 04.824|-00 35 06.86|J16374976-0022189| -11.0| -22.8|2MASS J16374976-0022189

