#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-31T21:47:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ589104a83d36	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/AJ/137/4186/stars
#-nav=cat:J/AJ/137/4186&tab:{J/AJ/137/4186/stars}&key:source=J/AJ/137/4186&HTTPPRM:&&-ref=VIZ589104a83d36&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=Vmag&-out=B-V&-out=U-B&-out=V-R&-out=R-I&-out=V-I&-out=RAJ2000&-out=DEJ2000&-out=pmRA&-out=pmDE&-out=SimbadName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/137/4186/stars
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/137/4186/stars
#-order=I
#-out=Name
#-out=Vmag
#-out=B-V
#-out=U-B
#-out=V-R
#-out=R-I
#-out=V-I
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=SimbadName
#

#RESOURCE=yCat_51374186
#Name: J/AJ/137/4186
#Title: UBVRI standards around celestial equator (Landolt, 2009)
#Table	J_AJ_137_4186_stars:
#Name: J/AJ/137/4186/stars
#Title: UBVRI photometry, accurate coordinates and proper motions of standard stars {\em(tables 2 and 5 of the paper)}
#Column	Name	(a11)	Star name	[ucd=meta.id;meta.main]
#Column	Vmag	(F6.3)	The Johnson V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	e_Vmag	(F7.4)	? Mean error of the mean of Vmag	[ucd=stat.error;phot.mag;em.opt.V]
#Column	B-V	(F6.3)	The Johnson (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-V	(F7.4)	? Mean error of the mean of B-V	[ucd=stat.error;phot.color;em.opt.B]
#Column	U-B	(F6.3)	The Johnson (U-B) color index	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	e_U-B	(F7.4)	? Mean error of the mean of U-B	[ucd=stat.error;phot.color;em.opt.U]
#Column	V-R	(F6.3)	The Johnson-Cousins (V-R) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	e_V-R	(F7.4)	? Mean error of the mean of V-R	[ucd=stat.error;phot.color;em.opt.V]
#Column	R-I	(F6.3)	The Cousins (R-I) color index	[ucd=phot.color;em.opt.R;em.opt.I]
#Column	e_R-I	(F7.4)	? Mean error of the mean of R-I	[ucd=stat.error;phot.color;em.opt.R]
#Column	V-I	(F6.3)	The Johnson-Cousins (V-I) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	e_V-I	(F7.4)	? Mean error of the mean of V-I	[ucd=stat.error;phot.color;em.opt.V]
#Column	Nobs	(I3)	Number of times star was observed	[ucd=meta.number]
#Column	Nnig	(I3)	Number of nights star was observed	[ucd=meta.number]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	UCAC2	(A8)	The UCAC2 identifier, Cat. I/289	[ucd=meta.id]
#Column	2MASS-PSC	(A17)	The 2MASS-PSC identifier, Cat. II/246	[ucd=meta.id]
#Column	pmRA	(F8.2)	Proper motion in Right Ascension	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F8.2)	Proper motion in Declination	[ucd=pos.pm;pos.eq.dec]
#Column	Ref	(I1)	Proper motion reference (1)	[ucd=meta.ref;pos.pm;pos.frame]
#Column	SimbadName	(a20)	Designation understandable by the {\bf\fg{FireBrick}Simbad} data-base	[ucd=meta.id]
Name|Vmag|e_Vmag|B-V|e_B-V|U-B|e_U-B|V-R|e_V-R|R-I|e_R-I|V-I|e_V-I|Nobs|Nnig|RAJ2000|DEJ2000|UCAC2|2MASS-PSC|pmRA|pmDE|Ref|SimbadName
101 341    |14.342| 0.0113| 0.575| 0.0141| 0.059| 0.0071| 0.332| 0.0007| 0.309| 0.0078| 0.641| 0.0071|  2|  1|09 57 29.828|-00 21 53.80|31684075|J09572983-0021536|   -9.00|  -12.30|1|SA 101-341
101 342    |15.556| 0.0141| 0.529| 0.0085|-0.065| 0.0085| 0.339| 0.0240| 0.419| 0.0021| 0.758| 0.0226|  2|  1|09 57 31.210|-00 21 50.90|        |J09573121-0021508|    2.00|    6.00|2|SA 101-342
101 343    |15.504| 0.0276| 0.606| 0.0488| 0.094| 0.0177| 0.396| 0.0226| 0.338| 0.0255| 0.734| 0.0481|  2|  1|09 57 31.301|-00 22 55.34|31684076|J09573129-0022553|  -14.60|   -3.10|1|SA 101-343
101 429    |13.496| 0.0039| 0.980| 0.0019| 0.782| 0.0060| 0.617| 0.0017| 0.526| 0.0020| 1.143| 0.0030| 23| 13|09 57 31.730|-00 18 15.20|        |J09573173-0018151|  -24.00|   38.00|2|SA 101-429
101 431    |13.684| 0.0056| 1.246| 0.0063| 1.144| 0.0102| 0.808| 0.0033| 0.708| 0.0029| 1.517| 0.0042| 23| 13|09 57 37.322|-00 17 53.28|31684081|J09573732-0017531|    4.70|  -12.30|1|SA 101-431
101 L6     |16.497| 0.0219| 0.711| 0.0092| 0.183| 0.0311| 0.445| 0.0113| 0.583| 0.1648| 1.024| 0.1732|  2|  1|09 57 39.540|-00 17 53.80|        |J09573954-0017538|   -2.00|    4.00|2|[L92b] SA 101 L6
101 207    |12.421| 0.0016| 0.513| 0.0018|-0.080| 0.0039| 0.320| 0.0014| 0.323| 0.0016| 0.645| 0.0015| 26| 18|09 57 52.495|-00 47 36.17|31504863|J09575249-0047361|   -4.80|    5.40|1|SA 101-207
101 363    | 9.874| 0.0010| 0.260| 0.0006| 0.132| 0.0016| 0.146| 0.0007| 0.151| 0.0007| 0.297| 0.0010| 57| 48|09 58 18.722|-00 25 36.51|31684119|J09581872-0025365|    1.20|   -5.50|1|SA 101-363
GD 108A    |13.881| 0.0018| 0.789| 0.0032| 0.316| 0.0066| 0.458| 0.0010| 0.449| 0.0011| 0.909| 0.0011| 15|  8|10 00 39.585|-07 33 25.10|29096285|J10003957-0733250|  -18.10|   -4.80|1|[L92b] GD 108A
GD 108B    |15.056| 0.0019| 0.839| 0.0043| 0.364| 0.0092| 0.463| 0.0029| 0.466| 0.0022| 0.924| 0.0048| 20|  9|10 00 42.665|-07 31 07.90|29096294|J10004266-0731078|   -2.60|  -10.60|1|[L92b] GD 108B
GD 108     |13.563| 0.0025|-0.214| 0.0038|-0.943| 0.0039|-0.099| 0.0024|-0.118| 0.0026|-0.218| 0.0026| 22| 13|10 00 47.250|-07 33 31.00|        |J10004725-0733310|  -38.00|   -4.00|2|GD 108
GD 108C    |13.819| 0.0011| 0.786| 0.0034| 0.345| 0.0037| 0.435| 0.0031| 0.393| 0.0020| 0.825| 0.0043| 16|  9|10 00 55.223|-07 30 29.59|29096303|J10005522-0730298|    1.50|  -12.30|1|[L92b] GD 108C
GD 108D    |14.235| 0.0010| 0.641| 0.0020| 0.078| 0.0050| 0.372| 0.0022| 0.357| 0.0042| 0.731| 0.0034| 16|  8|10 00 55.916|-07 34 51.83|29096304|J10005591-0734520|   -5.30|   -6.00|1|[L92b] GD 108D
BD +1 2447 | 9.650| 0.0027| 1.501| 0.0046| 1.238| 0.0082| 1.033| 0.0024| 1.225| 0.0016| 2.261| 0.0030| 24| 14|10 28 55.551|+00 50 27.56|32036240|J10285555+0050275| -602.70| -736.50|1|BD +1 2447
G162 66    |13.012| 0.0014|-0.165| 0.0010|-0.997| 0.0019|-0.126| 0.0009|-0.141| 0.0020|-0.266| 0.0025| 88| 71|10 33 42.763|-11 41 38.35|27664061|J10334277-1141383| -342.50|  -27.20|1|G162-66
G44 27     |12.636| 0.0120| 1.586| 0.0106| 1.088| 0.0106| 1.185| 0.0046| 1.526| 0.0039| 2.714| 0.0032|  8|  4|10 36 01.210|+05 07 12.80|        |J10360120+0507128| -661.00|  128.00|4|G44-27
PG1034+001 |13.228| 0.0024|-0.365| 0.0024|-1.274| 0.0033|-0.155| 0.0026|-0.203| 0.0042|-0.359| 0.0054| 33| 16|10 37 03.803|-00 08 19.11|31685808|J10370381-0008193|  -83.70|   28.90|1|PG 1034+001
G163 6     |14.706| 0.0070| 1.550| 0.0115| 1.228| 0.0655| 1.090| 0.0090| 1.384| 0.0015| 2.478| 0.0085|  4|  3|10 42 54.160|+02 47 20.60|        |J10425416+0247206| -241.00|  -44.00|4|G163-6
PG1047+003 |13.474| 0.0039|-0.290| 0.0030|-1.121| 0.0041|-0.132| 0.0037|-0.162| 0.0088|-0.295| 0.0110| 32| 18|10 50 02.825|-00 00 36.85|31686241|J10500281-0000369|  -17.70|  -35.50|1|PG 1047+003
PG1047+003A|13.512| 0.0046| 0.688| 0.0049| 0.168| 0.0067| 0.422| 0.0026| 0.418| 0.0026| 0.840| 0.0036| 15|  7|10 50 05.653|-00 01 11.25|31686243|J10500563-0001112|  -12.80|  -10.80|1|[L92b] PG 1047+003 A
PG1047+003B|14.751| 0.0050| 0.679| 0.0086| 0.172| 0.0128| 0.391| 0.0022| 0.371| 0.0080| 0.764| 0.0086| 13|  5|10 50 07.915|-00 02 04.36|31686246|J10500790-0002043|  -21.80|    1.60|1|[L92b] PG 1047+003 B
PG1047+003C|12.453| 0.0093| 0.607| 0.0024|-0.019| 0.0060| 0.378| 0.0036| 0.358| 0.0033| 0.737| 0.0045| 11|  6|10 50 13.682|-00 00 32.35|31686253|J10501366-0000323|  -34.50|   17.60|1|[L92b] PG 1047+003 C
G44 40     |11.675| 0.0033| 1.644| 0.0031| 1.213| 0.0092| 1.216| 0.0031| 1.568| 0.0017| 2.786| 0.0039| 13|  6|10 50 52.010|+06 48 29.30|        |J10505201+0648292| -845.00| -815.00|4|G44-40
102 620    |10.074| 0.0006| 1.080| 0.0005| 1.025| 0.0014| 0.645| 0.0004| 0.524| 0.0006| 1.169| 0.0007| 82| 72|10 55 04.231|-00 48 18.88|31507232|J10550424-0048188| -234.30|   13.60|1|SA 102-620
G45 20     |13.507| 0.0060| 2.034| 0.0069| 1.165| 0.0346| 1.823| 0.0073| 2.174| 0.0025| 4.000| 0.0062| 19| 10|10 56 28.910|+07 00 53.20|        |J10562886+0700527|-3842.00|-2725.00|4|G45-20
102 1081   | 9.903| 0.0007| 0.664| 0.0006| 0.258| 0.0013| 0.366| 0.0005| 0.332| 0.0006| 0.697| 0.0008| 89| 80|10 57 04.045|-00 13 12.87|31686515|J10570403-0013128|    4.10|  -46.30|1|SA 102-1081
G163 27    |14.338| 0.0055| 0.288| 0.0047|-0.548| 0.0065| 0.206| 0.0041| 0.210| 0.0075| 0.417| 0.0082| 26| 15|10 57 35.180|-07 31 23.30|        |J10573517-0731233| -816.00|   90.00|4|G163-27
G163 51E   |14.466| 0.0150| 0.611| 0.0150| 0.095| 0.0200| 0.381| 0.0150| 0.344| 0.0150| 0.725| 0.0150|  1|  1|11 07 22.332|-05 16 13.86|30020004|J11072232-0516137|  -21.40|   -5.60|1|[L92b] G163 51E
G163 51B   |11.292| 0.0029| 0.623| 0.0016| 0.119| 0.0024| 0.355| 0.0012| 0.336| 0.0020| 0.692| 0.0029|  6|  3|11 07 32.846|-05 12 37.29|30020013|J11073284-0512373|  -63.30|    3.20|1|[L92b] G163 51B
G163 51C   |12.672| 0.0033| 0.431| 0.0049|-0.009| 0.0061| 0.267| 0.0024| 0.272| 0.0024| 0.540| 0.0045|  6|  3|11 07 33.782|-05 14 20.26|30020015|J11073378-0514202|  -13.10|    4.70|1|[L92b] G163 51C
G163 51D   |13.862| 0.0041| 0.844| 0.0029| 0.202| 0.0171| 0.478| 0.0045| 0.466| 0.0086| 0.945| 0.0114|  6|  3|11 07 34.915|-05 15 00.50|30020017|J11073491-0515004|  -11.70|  -19.60|1|[L92b] G163 51D
G163 51A   |12.504| 0.0037| 0.666| 0.0020| 0.060| 0.0037| 0.382| 0.0037| 0.371| 0.0037| 0.753| 0.0057|  6|  3|11 07 37.196|-05 12 23.31|30020020|J11073719-0512232|  -45.10|  -13.60|1|[L92b] G163 51A
G163 50    |13.057| 0.0009| 0.036| 0.0012|-0.696| 0.0014|-0.084| 0.0009|-0.072| 0.0016|-0.158| 0.0022| 84| 70|11 07 59.950|-05 09 26.10|30020043|J11075994-0509258|  -70.80| -446.10|1|G163-50
G163 51    |12.559| 0.0012| 1.499| 0.0021| 1.195| 0.0087| 1.080| 0.0010| 1.355| 0.0008| 2.434| 0.0012| 47| 34|11 08 06.539|-05 13 47.19|30020048|J11080654-0513468|  -55.80| -462.40|1|G163-51
BD +5 2468 | 9.352| 0.0017|-0.114| 0.0010|-0.543| 0.0017|-0.035| 0.0006|-0.052| 0.0012|-0.089| 0.0013| 42| 35|11 15 30.897|+04 57 23.52|33399032|J11153089+0457235|  -36.20|    9.60|1|BD +5 2468
HD 100340  |10.115| 0.0012|-0.234| 0.0010|-0.975| 0.0018|-0.104| 0.0005|-0.135| 0.0009|-0.238| 0.0011| 37| 28|11 32 49.941|+05 16 36.23|33576046|J11324993+0516362|    2.90|   11.90|1|HD 100340
BD +5 2529 | 9.585| 0.0011| 1.233| 0.0012| 1.194| 0.0024| 0.783| 0.0009| 0.667| 0.0007| 1.452| 0.0011| 35| 27|11 41 49.593|+05 08 26.54|33576304|J11414959+0508265|  225.50| -469.30|1|BD +5 2529
G10 50     |11.153| 0.0024| 1.752| 0.0024| 1.318| 0.0078| 1.294| 0.0037| 1.673| 0.0021| 2.969| 0.0037| 14|  7|11 47 44.390|+00 48 16.40|32039206|J11474440+0048164|  595.10|-1222.50|1|G10-50
103 302    | 9.859| 0.0007| 0.370| 0.0005|-0.057| 0.0009| 0.230| 0.0005| 0.236| 0.0007| 0.465| 0.0009| 76| 63|11 56 06.021|-00 47 54.36|31509611|J11560602-0047542|  -48.20|   12.20|1|SA 103-302
103 626    |11.836| 0.0034| 0.413| 0.0027|-0.057| 0.0032| 0.262| 0.0022| 0.274| 0.0015| 0.535| 0.0024| 17| 10|11 56 46.156|-00 23 14.71|31688786|J11564615-0023146|   16.70|   -8.60|1|SA 103-626
103 526    |10.890| 0.0005| 1.090| 0.0010| 0.936| 0.0005| 0.560| 0.0011| 0.501| 0.0005| 1.056| 0.0014|  9|  6|11 56 54.182|-00 30 13.47|31509641|J11565419-0030134|  -15.30|   13.10|1|SA 103-526
G12 43     |12.467| 0.0042| 1.846| 0.0053| 1.085| 0.0466| 1.530| 0.0053| 1.944| 0.0039| 3.479| 0.0033| 13|  6|12 33 17.380|+09 01 15.80|        |J12331738+0901157|-1754.00|  220.00|2|G12-43
104 306    | 9.370| 0.0067| 1.592| 0.0030| 1.666| 0.0059| 0.832| 0.0020| 0.762| 0.0024| 1.591| 0.0033| 89| 68|12 41 03.619|-00 37 13.83|31511246|J12410361-0037139|    5.60|  -34.30|1|SA 104-306
104 423    |15.602| 0.0247| 0.630| 0.0389| 0.050| 0.0269| 0.262| 0.0361| 0.559| 0.1167| 0.818| 0.1520|  2|  1|12 41 35.959|-00 31 11.26|31511273|J12413596-0031114|  -11.40|    4.50|1|SA 104-423
104 428    |12.630| 0.0038| 0.985| 0.0028| 0.748| 0.0044| 0.534| 0.0024| 0.497| 0.0018| 1.032| 0.0036| 25| 16|12 41 41.284|-00 26 26.13|31690438|J12414128-0026262|   -5.40|   -0.10|1|SA 104-428
104 L1     |14.608| 0.0007| 0.630| 0.0014| 0.064| 0.0127| 0.374| 0.0113| 0.364| 0.0163| 0.739| 0.0042|  2|  1|12 41 49.420|-00 21 01.20|        |J12414942-0021012|    0.00|    0.00|2|[L92b] SA 104 L1
104 430    |13.858| 0.0052| 0.652| 0.0062| 0.131| 0.0085| 0.364| 0.0046| 0.363| 0.0041| 0.727| 0.0065| 15|  8|12 41 50.259|-00 25 52.44|31690448|J12415026-0025525|   -8.70|   -7.60|1|SA 104-430
104 325    |15.581| 0.0163| 0.694| 0.0431| 0.051| 0.0219| 0.345| 0.0255| 0.307| 0.0148| 0.652| 0.0403|  2|  1|12 42 02.210|-00 41 35.93|31511295|J12420221-0041361|   -7.80|   -9.90|1|SA 104-325
104 330    |15.296| 0.0103| 0.594| 0.0276|-0.028| 0.0155| 0.369| 0.0124| 0.371| 0.0214| 0.739| 0.0225| 15|  6|12 42 11.418|-00 40 41.44|31511302|J12421142-0040413|   -0.20|  -20.30|1|SA 104-330
104 440    |15.114| 0.0081| 0.440| 0.0084|-0.227| 0.0103| 0.289| 0.0069| 0.317| 0.0232| 0.605| 0.0262| 11|  5|12 42 14.300|-00 24 46.30|        |J12421429-0024463|  -64.00|   -4.00|2|SA 104-440
104 237    |15.395|       | 1.088|       | 0.918|       | 0.647|       | 0.628|       | 1.274|       |  1|  1|12 42 16.874|-00 51 18.21|31511306|J12421687-0051179|   12.00|  -17.80|1|SA 104-237
104 L2     |16.048| 0.0190| 0.650| 0.0265|-0.172| 0.0450| 0.344| 0.0295| 0.323| 0.0755| 0.667| 0.1000|  4|  2|12 42 19.621|-00 34 23.90|31511307|J12421962-0034238|  -20.40|   -9.10|1|[L92b] SA 104 L2
104 443    |15.372| 0.0087| 1.331| 0.0023| 1.280| 0.1120| 0.817| 0.0139| 0.778| 0.0104| 1.595| 0.0202|  3|  2|12 42 19.813|-00 25 21.21|31690466|J12421981-0025211|  -14.90|   -1.80|1|SA 104-443
104 444    |13.477| 0.0014| 0.512| 0.0099|-0.070| 0.0085| 0.313| 0.0021| 0.331| 0.0014| 0.643| 0.0007|  2|  1|12 42 20.021|-00 32 28.17|31511308|J12422002-0032280|  -18.80|  -11.90|1|SA 104-444
104 334    |13.484| 0.0047| 0.518| 0.0031|-0.067| 0.0039| 0.323| 0.0029| 0.331| 0.0031| 0.653| 0.0047| 24| 16|12 42 20.425|-00 40 28.35|31511309|J12422042-0040282|  -20.50|   -6.60|1|SA 104-334
104 335    |11.665| 0.0095| 0.622| 0.0010| 0.145| 0.0020| 0.357| 0.0035| 0.334| 0.0045| 0.691| 0.0070|  4|  2|12 42 20.894|-00 33 08.19|31511310|J12422089-0033081|  -18.90|   -7.70|1|SA 104-335
104 239    |13.936| 0.0060| 1.356| 0.0087| 1.291| 0.0231| 0.868| 0.0045| 0.805| 0.0030| 1.675| 0.0057|  7|  3|12 42 22.910|-00 46 35.60|        |J12422291-0046356|  -12.00|  -34.00|2|SA 104-239
104 336    |14.404| 0.0067| 0.830| 0.0072| 0.495| 0.0123| 0.461| 0.0059| 0.403| 0.0099| 0.865| 0.0104| 14|  6|12 42 24.640|-00 39 58.00|        |J12422463-0039579|    0.00|   -4.00|2|SA 104-336
104 338    |16.059| 0.0078| 0.591| 0.0219|-0.082| 0.0368| 0.348| 0.0088| 0.372| 0.0209| 0.719| 0.0170|  8|  5|12 42 30.142|-00 38 32.39|31511314|J12423013-0038321|  -12.00|    1.30|1|SA 104-338
104 339    |15.459|       | 0.832|       | 0.709|       | 0.476|       | 0.374|       | 0.849|       |  1|  1|12 42 33.298|-00 41 39.88|31511318|J12423329-0041398|   -6.10|   -8.60|1|SA 104-339
104 244    |16.011| 0.0092| 0.590| 0.0057|-0.152| 0.0113| 0.338| 0.0035| 0.489| 0.0269| 0.825| 0.0290|  2|  2|12 42 34.235|-00 45 47.06|31511319|J12423423-0045469|  -14.30|  -15.20|1|SA 104-244
104 455    |15.105| 0.0067| 0.581| 0.0144|-0.024| 0.0122| 0.360| 0.0053| 0.357| 0.0089| 0.716| 0.0122| 13|  7|12 42 52.116|-00 24 17.43|31690489|J12425211-0024175|   -9.00|   -3.30|1|SA 104-455
104 456    |12.362| 0.0025| 0.622| 0.0025| 0.135| 0.0045| 0.357| 0.0035| 0.337| 0.0065| 0.694| 0.0080|  4|  2|12 42 53.505|-00 32 00.91|31511333|J12425351-0032009|  -52.10|   21.80|1|SA 104-456
104 457    |16.048| 0.0107| 0.753| 0.0187| 0.522| 0.0770| 0.484| 0.0183| 0.490| 0.0370| 0.974| 0.0213|  9|  4|12 42 54.195|-00 28 48.68|31690490|J12425420-0028485|   13.10|  -12.00|1|SA 104-457
104 460    |12.895| 0.0019| 1.281| 0.0014| 1.246| 0.0026| 0.813| 0.0006| 0.695| 0.0010| 1.511| 0.0015| 36| 28|12 43 02.860|-00 28 19.00|        |J12430286-0028190| -106.00|   16.00|2|SA 104-460
104 461    | 9.705| 0.0005| 0.476| 0.0006|-0.035| 0.0009| 0.288| 0.0004| 0.289| 0.0005| 0.579| 0.0005|112| 90|12 43 06.031|-00 32 18.01|31511338|J12430602-0032181|  -13.40|    1.50|1|SA 104-461
104 350    |13.634| 0.0043| 0.673| 0.0035| 0.165| 0.0056| 0.383| 0.0032| 0.353| 0.0045| 0.736| 0.0061| 14|  7|12 43 14.204|-00 33 20.54|31511344|J12431420-0033205|    0.00|  -11.80|1|SA 104-350
104 470    |14.310| 0.0121| 0.732| 0.0092| 0.101| 0.0202| 0.295| 0.0133| 0.356| 0.0035| 0.649| 0.0150|  3|  1|12 43 22.314|-00 29 52.83|31690513|J12432230-0029528|   -9.50|    3.60|1|SA 104-470
104 364    |15.799| 0.0156| 0.601| 0.0488|-0.131| 0.0559| 0.314| 0.0085| 0.397| 0.0410| 0.712| 0.0495|  2|  1|12 43 45.986|-00 34 31.63|31511362|J12434598-0034316|  -10.70|  -15.00|1|SA 104-364
104 366    |12.908|       | 0.870|       | 0.424|       | 0.517|       | 0.464|       | 0.982|       |  1|  1|12 43 53.170|-00 34 45.40|        |J12435317-0034454|  -44.00|   68.00|2|SA 104-366
104 479    |16.087| 0.0339| 1.271| 0.0276| 0.673| 0.3995| 0.657| 0.0028| 0.607| 0.0035| 1.264| 0.0071|  2|  1|12 43 55.279|-00 32 49.39|31511369|J12435528-0032495|  -22.70|   -9.70|1|SA 104-479
104 367    |15.844| 0.0255| 0.639| 0.0212|-0.126| 0.0156| 0.382| 0.0177| 0.296| 0.0042| 0.679| 0.0226|  2|  1|12 43 58.453|-00 33 33.87|31511371|J12435845-0033340|   -5.70|   -7.30|1|SA 104-367
104 484    |14.406| 0.0071| 1.024| 0.0184| 0.732| 0.0134| 0.514| 0.0057| 0.486| 0.0064| 1.000| 0.0120|  2|  1|12 44 20.526|-00 30 54.29|31511384|J12442052-0030543|  -12.10|   -6.30|1|SA 104-484
104 485    |15.017| 0.0113| 0.838| 0.0339| 0.493| 0.0226| 0.478| 0.0014| 0.488| 0.0113| 0.967| 0.0099|  2|  1|12 44 23.810|-00 30 16.38|31511386|J12442380-0030163|    3.50|  -13.70|1|SA 104-485
104 490    |12.572| 0.0029| 0.535| 0.0032| 0.048| 0.0052| 0.318| 0.0023| 0.312| 0.0023| 0.630| 0.0026| 12|  8|12 44 33.454|-00 25 51.78|31690544|J12443346-0025517|    1.50|   -2.30|1|SA 104-490
104 598    |11.478| 0.0010| 1.108| 0.0008| 1.051| 0.0023| 0.667| 0.0004| 0.545| 0.0004| 1.214| 0.0005| 88| 76|12 45 16.779|-00 16 40.47|31690570|J12451677-0016405| -136.10|  -79.80|1|SA 104-598
PG1323-086 |13.481| 0.0019|-0.140| 0.0022|-0.681| 0.0026|-0.048| 0.0018|-0.078| 0.0045|-0.127| 0.0045| 39| 18|13 25 39.468|-08 49 19.12|28735599|J13253946-0849190|   -5.00|  -11.50|1|PG 1323-086
PG1323-086A|13.591| 0.0257| 0.393| 0.0022|-0.019| 0.0045| 0.252| 0.0027| 0.252| 0.0047| 0.506| 0.0060| 20| 12|13 25 49.722|-08 50 23.53|28735606|J13254972-0850234|   -6.80|    1.70|1|[L92b] PG 1323-086 A
PG1323-086C|14.003| 0.0031| 0.707| 0.0027| 0.245| 0.0076| 0.395| 0.0024| 0.363| 0.0041| 0.759| 0.0049| 26| 13|13 25 50.222|-08 48 38.94|28735607|J13255022-0848389|   -8.80|  -16.40|1|[L92b] PG 1323-086 C
PG1323-086B|13.406| 0.0019| 0.761| 0.0029| 0.265| 0.0042| 0.426| 0.0023| 0.407| 0.0023| 0.833| 0.0031| 23| 13|13 25 50.651|-08 50 55.10|28735608|J13255065-0850550|    8.00|  -25.90|1|[L92b] PG 1323-086 B
PG1323-086D|12.080| 0.0023| 0.587| 0.0018| 0.005| 0.0036| 0.346| 0.0013| 0.335| 0.0026| 0.684| 0.0031| 15|  6|13 26 05.252|-08 50 36.19|28735614|J13260525-0850361|   -9.70|  -10.30|1|[L92b] PG 1323-086 D
G14 55     |11.336| 0.0058| 1.491| 0.0049| 1.157| 0.0076| 1.078| 0.0067| 1.388| 0.0013| 2.462| 0.0063|  5|  2|13 28 21.082|-02 21 37.07|31014804|J13282106-0221365|  156.70| -492.50|1|G 14-55
105 505    |10.270| 0.0061| 1.422| 0.0102| 1.218| 0.0053| 0.910| 0.0053| 0.861| 0.0033| 1.771| 0.0069|  6|  3|13 35 24.773|-00 23 20.74|31692442|J13352477-0023209|   36.60|  187.50|1|SA 105-505
105 437    |12.535| 0.0060| 0.248| 0.0038| 0.067| 0.0094| 0.136| 0.0053| 0.143| 0.0026| 0.279| 0.0076|  7|  3|13 37 16.748|-00 37 56.33|31513388|J13371673-0037563|  -15.70|  -10.80|1|SA 105-437
105 815    |11.451| 0.0008| 0.381| 0.0007|-0.247| 0.0010| 0.267| 0.0005| 0.292| 0.0005| 0.559| 0.0006| 61| 51|13 40 02.492|-00 02 18.76|31692619|J13400249-0002188| -229.20|  -81.00|1|SA 105-815
BD +2 2711 |10.369| 0.0007|-0.163| 0.0006|-0.699| 0.0011|-0.072| 0.0005|-0.095| 0.0006|-0.168| 0.0008| 94| 78|13 42 19.004|+01 30 18.68|32376436|J13421900+0130187|   -5.90|    1.10|1|BD +2 2711
32376437   |10.584| 0.0016| 0.499| 0.0016| 0.005| 0.0028| 0.304| 0.0006| 0.301| 0.0009| 0.606| 0.0016| 10|  8|13 42 23.215|+01 30 25.71|32376437|J13422320+0130257|   -8.10|   -2.70|1|UCAC2 32376437
HD 121968  |10.256| 0.0006|-0.185| 0.0006|-0.915| 0.0010|-0.074| 0.0004|-0.100| 0.0005|-0.173| 0.0006| 90| 75|13 58 51.167|-02 54 52.33|30864100|J13585116-0254523|    1.90|   17.00|1|HD 121968
PG1407-013B|12.471| 0.0013| 0.970| 0.0016| 0.665| 0.0020| 0.537| 0.0012| 0.505| 0.0012| 1.037| 0.0016| 17| 10|14 10 24.181|-01 27 16.52|31341930|J14102418-0127165|  -17.70|    8.80|1|[L92b] PG 1407-013 B
PG1407-013 |13.758| 0.0012|-0.259| 0.0017|-1.133| 0.0033|-0.119| 0.0015|-0.151| 0.0033|-0.272| 0.0043| 21| 12|14 10 25.915|-01 30 16.61|31175908|J14102592-0130165|  -16.20|   -4.00|1|PG 1407-013
PG1407-013C|12.462| 0.0015| 0.805| 0.0013| 0.298| 0.0031| 0.464| 0.0010| 0.448| 0.0016| 0.914| 0.0014| 17| 10|14 10 28.013|-01 25 03.05|31341933|J14102801-0125030|   -0.60|  -23.80|1|[L92b] PG 1407-013 C
PG1407-013A|14.661| 0.0023| 1.151| 0.0030| 1.049| 0.0116| 0.617| 0.0018| 0.569| 0.0018| 1.178| 0.0034| 21| 10|14 10 29.547|-01 29 10.18|31341935|J14102955-0129102|  -11.10|   -0.70|1|[L92b] PG 1407-013 A
